Team	Quasi-Sagarin	Composite	Injury Adjustment	Adjusted Composite
South Florida	70.43	1471		1471
Eastern Kentucky	70.31	1468		1468
Quinnipiac	70.24	1466		1466
Montana St.	70.17	1464		1464
Jacksonville	70.16	1464		1464
Florida Gulf Coast	70.12	1463		1463
Western Kentucky	70.09	1462		1462
Lamar	70.03	1460		1460
Nicholls St.	69.93	1458		1458
UNC Asheville	69.91	1457		1457
Sam Houston	69.88	1456		1456
Vermont	69.88	1456		1456
U Miami (FL)	69.88	1456		1456
Valparaiso	69.83	1455		1455
South Carolina St.	69.83	1455		1455
A&M-Corpus Christi	69.82	1455		1455
SIU Edwardsville	69.38	1443	+6	1449
Mount St. Mary's (MD)	69.49	1446	+3	1449
UTSA	69.43	1444		1444
Seton Hall	69.33	1441		1441
Portland St.	69.32	1441		1441
Delaware	69.31	1441		1441
Abilene Christian	69.30	1441		1441
Northeastern	69.28	1440		1440
Wyoming	69.22	1438		1438
UMass (Amherst)	69.21	1438		1438
Texas St.	69.14	1436		1436
Northern Kentucky	69.10	1435		1435
Elon	69.05	1434		1434
American	68.97	1432	+1	1433
Ohio	68.98	1432		1432
Bucknell	68.95	1431		1431
UT Arlington	68.95	1431		1431
Hofstra	68.94	1431		1431
Hampton	68.94	1431		1431
Southeast Missouri St.	68.93	1431		1431
La Salle	68.90	1430		1430
Harvard	68.75	1426		1426
Pepperdine	68.73	1425		1425
Queens	68.67	1424		1424
Iona	68.50	1419		1419
Rice	68.48	1418		1418
Idaho St.	68.48	1418		1418
Fordham	68.43	1417		1417
UMass Lowell	68.40	1416		1416
Monmouth	68.35	1415		1415
Manhattan	68.35	1415		1415
Campbell	68.27	1413		1413
Richmond	68.21	1411		1411
Longwood	67.98	1405		1405
Central Michigan	67.96	1404		1404
William & Mary	67.81	1400		1400
Presbyterian	67.80	1400		1400
Hawaii	67.76	1399		1399
Southern	67.74	1399		1399
Toledo	67.66	1396		1396
Northern Arizona	67.65	1396		1396
Evansville	67.53	1393		1393
Wright St.	67.51	1392		1392
Little Rock	67.46	1391		1391
Georgia Southern	67.36	1388		1388
Tulsa	67.32	1387		1387
Georgia St.	67.31	1387		1387
SE Louisiana	67.23	1385		1385
South Dakota	67.23	1385		1385
Northwestern St.	67.20	1384		1384
Cal State Bakersfield	67.18	1383		1383
Charlotte	67.08	1381		1381
Sacred Heart	67.06	1380		1380
UC Davis	67.05	1380		1380
Tennessee St.	66.93	1377		1377
Jackson St.	66.92	1376		1376
Albany	66.90	1376		1376
Kansas City	66.85	1375		1375
Portland	66.81	1373		1373
Navy	66.80	1373		1373
Missouri St.	66.80	1373		1373
FIU	66.42	1363		1363
Marist	66.36	1361		1361
Colgate	66.26	1359		1359
Tarleton St.	66.24	1358		1358
Alabama St.	66.14	1355	+2	1357
Idaho	66.18	1356		1356
Siena	66.13	1355		1355
Mercer	66.12	1355		1355
Eastern Michigan	66.01	1352		1352
Old Dominion	65.82	1347		1347
Penn	65.68	1343		1343
Gardner-Webb	65.55	1339		1339
North Dakota	65.47	1337		1337
Austin Peay	65.45	1337		1337
Saint Peter's	65.34	1334		1334
Fresno St.	65.31	1333		1333
LIU	65.28	1332		1332
Ball St.	65.17	1329		1329
Texas Southern	65.14	1328		1328
North Florida	65.11	1327		1327
Incarnate Word	65.05	1326		1326
Bowling Green	64.94	1323		1323
Saint Francis (PA)	64.66	1315	+4	1319
UT Rio Grande Valley	64.79	1319		1319
VMI	64.76	1318		1318
Columbia	64.60	1314		1314
UMBC	64.55	1312		1312
Bethune-Cookman	64.54	1312		1312
Western Michigan	64.53	1312		1312
Lafayette	64.51	1311		1311
Lehigh	64.44	1309		1309
Boston University	64.40	1308		1308
Rider	64.36	1307		1307
Weber St.	64.17	1302		1302
Delaware St.	64.17	1302		1302
Binghamton	64.12	1301		1301
Pacific	64.11	1300		1300
Eastern Washington	63.85	1293		1293
Fairfield	63.79	1292		1292
Stephen F. Austin	63.79	1292		1292
Eastern Illinois	63.61	1287		1287
UT Martin	63.45	1283		1283
Louisiana (Lafayette)	63.43	1282		1282
Southern Utah	63.42	1282		1282
Fairleigh Dickinson	63.41	1282		1282
Air Force	63.33	1279		1279
Niagara	63.26	1277		1277
Loyola Maryland	63.07	1272		1272
Utah Tech	62.95	1269		1269
Southern Miss	62.86	1267		1267
Stony Brook	62.86	1267		1267
San Diego	62.79	1265		1265
Long Beach St.	62.66	1261		1261
Denver	62.65	1261		1261
Houston Christian	62.54	1258		1258
Charleston Southern	62.44	1255		1255
IU Indy	62.15	1248		1248
North Carolina Central	62.14	1247		1247
Tennessee Tech	62.05	1245		1245
Grambling	62.03	1244		1244
Florida A&M	61.98	1243		1243
Army	61.89	1241		1241
Western Carolina	61.77	1237		1237
Morgan St.	61.71	1236		1236
Mercyhurst	61.62	1233		1233
Morehead St.	61.54	1231		1231
Alcorn St.	61.48	1230		1230
Coastal Carolina	61.46	1229		1229
Holy Cross	61.41	1228		1228
Lindenwood	61.35	1226		1226
Oral Roberts	61.27	1224		1224
Howard	61.24	1223		1223
Stonehill	61.20	1222		1222
Wagner	60.88	1213		1213
New Hampshire	60.74	1209		1209
Western Illinois	60.67	1208		1208
North Carolina A&T	60.47	1202		1202
Central Arkansas	60.17	1194		1194
Bellarmine	60.08	1192		1192
Louisiana Monroe	59.99	1189		1189
Detroit Mercy	59.56	1178		1178
Buffalo	59.52	1176		1176
Stetson	59.47	1175		1175
South Carolina Upstate	59.47	1175		1175
Southern Indiana	59.43	1174		1174
East Texas A&M	59.42	1174		1174
Cal State Fullerton	59.35	1172		1172
NJIT	59.26	1169		1169
Green Bay	59.23	1169		1169
Sacramento St.	59.03	1163		1163
West Georgia	58.93	1161		1161
Northern Illinois	58.91	1160		1160
The Citadel	57.93	1133		1133
Canisius	57.85	1131		1131
Le Moyne	57.72	1128		1128
MD Eastern Shore	56.79	1103		1103
New Orleans	56.59	1097		1097
Alabama A&M	56.34	1091		1091
Chicago St.	56.22	1087		1087
Coppin St.	56.16	1086		1086
Prairie View A&M	55.15	1058		1058
Arkansas-Pine Bluff	54.98	1054		1054
Mississippi Valley St.	46.50	825		825
